company_id,contractor,date,manpower,manhours
PWEI,Company Owned,6/30/2014,100,75648
PWEI,Company Owned,7/31/2014,100,83824
PWEI,Company Owned,8/31/2014,100,105754
PWEI,Company Owned,9/30/2014,100,96858
PWEI,Company Owned,10/31/2014,100,116384
PWEI,Company Owned,11/30/2014,100,127946
PWEI,Company Owned,12/31/2014,100,122758
PWEI,Company Owned,1/31/2015,100,121231
PWEI,Company Owned,2/28/2015,100,135249
PWEI,Company Owned,3/31/2015,100,110970
PWEI,Company Owned,4/30/2015,100,119419
PWEI,Company Owned,5/31/2015,100,106152
PWEI,Company Owned,6/30/2015,100,78832
PWEI,Company Owned,7/31/2015,100,25376
PWEI,Company Owned,8/31/2015,100,25440
PWEI,Company Owned,9/30/2015,100,27904
PWEI,Company Owned,10/31/2015,100,19480
PWEI,Company Owned,11/30/2015,100,27058
PWEI,Company Owned,12/31/2015,100,22640
PWEI,Company Owned,1/31/2016,100,19472
PWEI,Company Owned,2/29/2016,100,26248
PWEI,Company Owned,3/31/2016,100,28424
PWEI,Company Owned,4/30/2016,100,26440
PWEI,Company Owned,5/31/2016,100,18896
PWEI,Company Owned,6/30/2016,100,18016
PWEI,Company Owned,7/31/2016,100,19896
PWEI,Company Owned,8/31/2016,100,21280
PWEI,Company Owned,9/30/2016,100,16832
PWEI,Company Owned,10/31/2016,100,18416
PWEI,Company Owned,11/30/2016,100,21376
PWEI,Company Owned,12/31/2016,100,9072
PWEI,Company Owned,1/31/2017,100,6152
PWEI,Company Owned,2/28/2017,100,8400
PWEI,Company Owned,3/31/2017,100,10000
PWEI,Company Owned,4/30/2017,100,7240
PWEI,Company Owned,5/31/2017,100,4704
PWEI,Company Owned,6/30/2017,100,4992
PWEI,Company Owned,7/31/2017,100,9664
PWEI,Company Owned,8/31/2017,100,14840
PWEI,Company Owned,9/30/2017,100,16000
PWEI,Company Owned,10/31/2017,100,12752
PWEI,Company Owned,11/30/2017,100,14772
PWEI,Company Owned,12/31/2017,100,11920
PWEI,Company Owned,1/31/2018,100,13288
PWEI,Company Owned,2/28/2018,100,10408
PWEI,Company Owned,3/31/2018,100,8840
PWEI,Company Owned,4/30/2018,100,8632
PWEI,Company Owned,5/31/2018,100,14292
PWEI,Company Owned,6/30/2018,100,13200
PWEI,Company Owned,7/31/2018,100,9304
PWEI,Company Owned,8/31/2018,100,7944
PWEI,Company Owned,9/30/2018,100,6632
PWEI,Company Owned,10/31/2018,100,10816
PWEI,Company Owned,11/30/2018,100,10320
PWEI,Company Owned,12/31/2018,100,10320
PWEI,Company Owned,1/31/2019,100,8464
PWEI,Company Owned,2/28/2019,100,8336
PWEI,Company Owned,3/31/2019,100,14280
PWEI,Company Owned,4/30/2019,100,26298
PWEI,Company Owned,5/31/2019,100,24228
PWEI,Company Owned,6/30/2019,100,23528
PWEI,Company Owned,7/31/2019,100,27200
PWEI,Company Owned,8/31/2019,100,22704
PWEI,Company Owned,9/30/2019,100,32552
PWEI,Company Owned,10/31/2019,100,29035
PWEI,Company Owned,11/30/2019,100,35347
PWEI,Company Owned,12/31/2019,100,35899
PWEI,Company Owned,1/31/2020,100,25979
PWEI,Company Owned,2/29/2020,100,21780
PWEI,Company Owned,3/31/2020,100,20964
PWEI,Company Owned,4/30/2020,100,16204
PWEI,Company Owned,5/31/2020,100,15788
PWEI,Company Owned,6/30/2020,100,19892
PWEI,Company Owned,7/31/2020,100,19652
PWEI,Company Owned,8/31/2020,100,21592
PWEI,Company Owned,9/30/2020,100,20632
PWEI,Company Owned,10/31/2020,100,25112
PWEI,Company Owned,11/30/2020,100,23798
PWEI,Company Owned,12/31/2020,100,21332
PWEI,Company Owned,1/31/2021,100,19524
PWEI,Company Owned,2/28/2021,100,20346
PWEI,Company Owned,3/31/2021,100,20406
PWEI,Company Owned,4/30/2021,100,17016
PWEI,Company Owned,5/31/2021,100,23808
PWEI,Company Owned,6/30/2021,100,23000
PWEI,Company Owned,7/31/2021,100,17610
PWEI,Company Owned,8/31/2021,100,15304
PWEI,Company Owned,9/30/2021,100,16184
PWEI,Company Owned,10/31/2021,100,19488
PWEI,Company Owned,11/30/2021,100,21688
PWEI,Company Owned,12/31/2021,100,21680
PWEI,Company Owned,1/31/2022,100,15496
PWEI,Company Owned,2/28/2022,100,16536
PWEI,Company Owned,3/31/2022,100,18616
PWEI,Company Owned,4/30/2022,100,21782
PWEI,Company Owned,5/31/2022,100,23159
PWEI,Company Owned,6/30/2022,100,21048
PWEI,Company Owned,7/31/2022,100,17296
PWEI,Company Owned,8/31/2022,100,16240
PWEI,Company Owned,9/30/2022,100,19406
PWEI,Company Owned,10/31/2022,100,27398
PWEI,Company Owned,11/30/2022,100,23432
PWEI,Company Owned,12/31/2022,100,21848
PWEI,Company Owned,1/31/2023,100,35529
PWEI,Company Owned,2/28/2023,100,46415
PWEI,Company Owned,3/31/2023,100,46454
PWEI,Company Owned,4/30/2023,100,52121
PWEI,Company Owned,5/31/2023,100,54008
PWEI,Company Owned,6/30/2023,100,62207
PWEI,Company Owned,7/31/2023,100,62911
PWEI,Company Owned,8/31/2023,100,64396
PWEI,Company Owned,9/30/2023,100,118284
PWEI,Company Owned,10/31/2023,100,145277
PWEI,Company Owned,11/30/2023,100,117861
PWEI,Company Owned,12/31/2023,100,109830
PWEI,Company Owned,1/31/2024,100,95614
PWEI,Company Owned,2/29/2024,100,162044
PWEI,Company Owned,3/31/2024,100,79834
PWEI,Company Owned,4/30/2024,100,31440
PWEI,Company Owned,5/31/2024,100,28552
PWEI,Company Owned,6/30/2024,100,23688
PWEI,Company Owned,7/31/2024,100,21504
PWEI,Company Owned,8/31/2024,100,20464
PWEI,Company Owned,9/30/2024,100,23032
PWEI,Company Owned,10/31/2024,100,21816
PWEI,Company Owned,11/30/2024,100,22160
PWEI,Company Owned,12/31/2024,100,22460
PWEI,Company Owned,1/31/2025,100,25748
PWEI,Company Owned,2/28/2025,100,48342
PWEI,Company Owned,3/31/2025,100,73493
PWEI,Company Owned,4/30/2025,100,101725
PSC,PetroSolar Corporation (Company Owned),1/31/2019,5,700
PSC,Syntegra (Owner's Engineer - TSPP1),1/31/2019,0,0
PSC,GreenCity (Owner's Engineer - TSPP2),1/31/2019,3,416
PSC,"MCDC (Civil Works, TSPP1 & TSPP2)",1/31/2019,12,2584
PSC,"Philcantech (Switchgear, T/L, Sub-Stations - TSPP1 & TSPP2)",1/31/2019,4,184
PSC,Conergy/Phesco/Conecon (EPC-TSPP1),1/31/2019,0,0
PSC,Solenergy (EPC - TSPP2),1/31/2019,221,34255
PSC,"All Vision (O & M, TSPP1)",1/31/2019,17,3046
PSC,GSIAC (TSPP1 & TSPP2 Security),1/31/2019,16,5996
PSC,GAIC (Drivers and Utility),1/31/2019,10,2285
PSC,Fire Control (Fire Deluge System),1/31/2019,0,0
PSC,Libalib/Kambal/Clei Anne Gardens (Landscaping),1/31/2019,10,1456
PSC,J. D. Millet (Temz) - Water Truck,1/31/2019,0,0
PSC,PLDT/TRI-EX (Internet Connection),1/31/2019,0,0
PSC,PSC Temporary Workers,1/31/2019,0,0
PSC,FirePro (Fire Fighting System/Fire Hydrant),1/31/2019,0,0
PSC,Pineda Group (Civil Works),1/31/2019,0,0
PSC,Avotech (Sub-Stations PMS),1/31/2019,0,0
PSC,Groundfos (Fire Pump),1/31/2019,0,0
PSC,MMCT (Old Building Rennovation),1/31/2019,0,0
PSC,ARMAV (Old Building Rennovation),1/31/2019,0,0
PSC,Microphase (Internet Connection),1/31/2019,0,0
PSC,Lantech Cabling Works (CCTV PMS),1/31/2019,5,40
PSC,Other Contractors,1/31/2019,17,1496
PSC,PetroSolar Corporation (Company Owned),2/28/2019,5,715
PSC,Syntegra (Owner's Engineer - TSPP1),2/28/2019,0,0
PSC,GreenCity (Owner's Engineer - TSPP2),2/28/2019,3,440
PSC,"MCDC (Civil Works, TSPP1 & TSPP2)",2/28/2019,12,2528
PSC,"Philcantech (Switchgear, T/L, Sub-Stations - TSPP1 & TSPP2)",2/28/2019,5,240
PSC,Conergy/Phesco/Conecon (EPC-TSPP1),2/28/2019,0,0
PSC,Solenergy (EPC - TSPP2),2/28/2019,250,58182
PSC,"All Vision (O & M, TSPP1)",2/28/2019,17,3304
PSC,GSIAC (TSPP1 & TSPP2 Security),2/28/2019,16,6048
PSC,GAIC (Drivers and Utility),2/28/2019,10,1997
PSC,Fire Control (Fire Deluge System),2/28/2019,0,0
PSC,Libalib/Kambal/Clei Anne Gardens (Landscaping),2/28/2019,5,560
PSC,J. D. Millet (Temz) - Water Truck,2/28/2019,0,0
PSC,PLDT/TRI-EX (Internet Connection),2/28/2019,0,0
PSC,PSC Temporary Workers,2/28/2019,0,0
PSC,FirePro (Fire Fighting System/Fire Hydrant),2/28/2019,0,0
PSC,Pineda Group (Civil Works),2/28/2019,0,0
PSC,Avotech (Sub-Stations PMS),2/28/2019,0,0
PSC,Groundfos (Fire Pump),2/28/2019,0,0
PSC,MMCT (Old Building Rennovation),2/28/2019,0,0
PSC,ARMAV (Old Building Rennovation),2/28/2019,0,0
PSC,Microphase (Internet Connection),2/28/2019,0,0
PSC,Lantech Cabling Works (CCTV PMS),2/28/2019,4,32
PSC,Other Contractors,2/28/2019,9,592
PSC,PetroSolar Corporation (Company Owned),3/31/2019,5,798
PSC,Syntegra (Owner's Engineer - TSPP1),3/31/2019,0,0
PSC,GreenCity (Owner's Engineer - TSPP2),3/31/2019,3,472
PSC,"MCDC (Civil Works, TSPP1 & TSPP2)",3/31/2019,13,2920
PSC,"Philcantech (Switchgear, T/L, Sub-Stations - TSPP1 & TSPP2)",3/31/2019,5,280
PSC,Conergy/Phesco/Conecon (EPC-TSPP1),3/31/2019,0,0
PSC,Solenergy (EPC - TSPP2),3/31/2019,318,113885
PSC,"All Vision (O & M, TSPP1)",3/31/2019,22,3170
PSC,GSIAC (TSPP1 & TSPP2 Security),3/31/2019,18,6696
PSC,GAIC (Drivers and Utility),3/31/2019,10,2336
PSC,Fire Control (Fire Deluge System),3/31/2019,0,0
PSC,Libalib/Kambal/Clei Anne Gardens (Landscaping),3/31/2019,2,176
